what,kind,bundleId,bundleVersion,description,time
started,bundle,org.eclipse.ltk.ui.refactoring,3.5.0.v20100526-0800,"org.eclipse.ltk.ui.refactoring",1389481683103
started,bundle,org.eclipse.mylyn.bugzilla.core,3.4.2.v20100902-0100-e3x,"org.eclipse.mylyn.bugzilla.core",1389481683109
started,bundle,org.eclipse.mylyn.bugzilla.ui,3.4.3.v20110131-0100-e3x,"org.eclipse.mylyn.bugzilla.ui",1389481683254
started,bundle,org.eclipse.mylyn.commons.net,3.4.1.v20100625-2100-e3x,"org.eclipse.mylyn.commons.net",1389481683254
started,bundle,org.eclipse.mylyn.commons.ui,3.4.0.v20100608-0100-e3x,"org.eclipse.mylyn.commons.ui",1389481683308
started,bundle,org.eclipse.mylyn.context.core,3.4.1.v20100909-0100-e3x,"org.eclipse.mylyn.context.core",1389481683330
started,bundle,org.eclipse.mylyn.context.ui,3.4.2.v20110131-0100-e3x,"org.eclipse.mylyn.context.ui",1389481683355
started,bundle,org.eclipse.mylyn.monitor.ui,3.4.1.v20110131-0100-e3x,"org.eclipse.mylyn.monitor.ui",1389481683362
started,bundle,org.eclipse.mylyn.tasks.ui,3.4.3.v20110131-0100-e3x,"org.eclipse.mylyn.tasks.ui",1389481683421
started,bundle,org.eclipse.mylyn.team.ui,3.4.3.v20110131-0100-e3x,"org.eclipse.mylyn.team.ui",1389481683422
started,bundle,org.eclipse.pde.launching,3.6.0.v20100601,"org.eclipse.pde.launching",1389481683432
started,bundle,org.eclipse.pde.ui,3.6.1.v20110210_r362,"org.eclipse.pde.ui",1389481683525
started,bundle,org.eclipse.search,3.6.0.v20100520-0800,"org.eclipse.search",1389481683557
started,bundle,org.eclipse.team.core,3.5.101.R36x_v20110203-1036,"org.eclipse.team.core",1389481683594
started,bundle,org.eclipse.team.cvs.core,3.3.301.R36x_v20110119-0815,"org.eclipse.team.cvs.core",1389481683636
started,bundle,org.eclipse.team.ui,3.5.102.R36x_v20110203-1036,"org.eclipse.team.ui",1389481683646
started,bundle,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui",1389481683662
started,bundle,org.eclipse.ui.console,3.5.0.v20100526,"org.eclipse.ui.console",1389481683681
started,bundle,org.eclipse.ui.editors,3.6.1.r361_v20100825-0800,"org.eclipse.ui.editors",1389481683681
started,bundle,org.eclipse.ui.forms,3.5.2.r36_v20100702,"org.eclipse.ui.forms",1389481683688
started,bundle,org.eclipse.ui.ide,3.6.2.M20101201-0800,"org.eclipse.ui.ide",1389481683737
started,bundle,org.eclipse.ui.net,1.2.100.I20100505-1245,"org.eclipse.ui.net",1389481683752
started,bundle,org.eclipse.ui.views,3.5.1.M20110202-0800,"org.eclipse.ui.views",1389481683753
started,bundle,org.eclipse.ui.views.log,1.0.100.v20110210_r362,"org.eclipse.ui.views.log",1389481683782
started,bundle,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"org.eclipse.ui.workbench",1389481683799
started,bundle,org.eclipse.ui.workbench.texteditor,3.6.1.r361_v20100714-0800,"org.eclipse.ui.workbench.texteditor",1389481683822
started,bundle,org.eclipse.wst.common.project.facet.core,1.4.102.v201008170019,"org.eclipse.wst.common.project.facet.core",1389481683860
started,bundle,org.eclipse.wst.web,1.1.402.v201012160000,"org.eclipse.wst.web",1389481683860
os,sysinfo,,,"macosx",1389481683882
arch,sysinfo,,,"x86",1389481683882
ws,sysinfo,,,"cocoa",1389481683882
locale,sysinfo,,,"en_US",1389481683882
processors,sysinfo,,,"4",1389481683882
java.runtime.name,sysinfo,,,"Java(TM) SE Runtime Environment",1389481683882
java.runtime.version,sysinfo,,,"1.6.0_65-b14-462-11M4609",1389481683882
java.specification.name,sysinfo,,,"Java Platform API Specification",1389481683882
java.specification.vendor,sysinfo,,,"Sun Microsystems Inc.",1389481683882
java.specification.version,sysinfo,,,"1.6",1389481683882
java.vendor,sysinfo,,,"Apple Inc.",1389481683882
java.version,sysinfo,,,"1.6.0_65",1389481683882
java.vm.info,sysinfo,,,"mixed mode",1389481683882
java.vm.name,sysinfo,,,"Java HotSpot(TM) Client VM",1389481683882
java.vm.specification.name,sysinfo,,,"Java Virtual Machine Specification",1389481683882
java.vm.specification.vendor,sysinfo,,,"Sun Microsystems Inc.",1389481683882
java.vm.specification.version,sysinfo,,,"1.0",1389481683882
java.vm.vendor,sysinfo,,,"Apple Inc.",1389481683882
java.vm.version,sysinfo,,,"20.65-b04-462",1389481683882
started,bundle,org.eclipse.update.scheduler,3.2.300.v20100512,"org.eclipse.update.scheduler",1389481684127
started,bundle,org.eclipse.update.configurator,3.3.100.v20100512,"org.eclipse.update.configurator",1389481684403
started,bundle,org.eclipse.update.core,3.2.402.R36x_v20100629,"org.eclipse.update.core",1389481684457
started,bundle,org.eclipse.emf.ecore.xmi,2.5.0.v20100521-1846,"org.eclipse.emf.ecore.xmi",1389481684516
started,bundle,org.eclipse.jst.common.project.facet.core,1.4.102.v201008182136,"org.eclipse.jst.common.project.facet.core",1389481684719
started,bundle,org.eclipse.jst.ws.jaxrs.core,1.0.201.v201011231540,"org.eclipse.jst.ws.jaxrs.core",1389481684745
activated,view,org.eclipse.jdt.ui,3.6.2.r362_v20110203,"org.eclipse.jdt.ui.PackageExplorer",1389481722502
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1389481722680
activated,editor,org.eclipse.jdt.ui,3.6.2.r362_v20110203,"org.eclipse.jdt.ui.CompilationUnitEditor",1389481722830
activated,view,org.eclipse.jdt.ui,3.6.2.r362_v20110203,"org.eclipse.jdt.ui.PackageExplorer",1389481737257
activated,editor,org.eclipse.jdt.ui,3.6.2.r362_v20110203,"org.eclipse.jdt.ui.CompilationUnitEditor",1389481754143
started,bundle,org.eclipse.mylyn.ide.ui,3.4.0.v20100608-0100-e3x,"org.eclipse.mylyn.ide.ui",1389481757898
started,bundle,org.eclipse.jst.ws.jaxws.ui,1.0.1.v201008232129,"org.eclipse.jst.ws.jaxws.ui",1389481757935
started,bundle,org.eclipse.mylyn.java.ui,3.4.0.v20100608-0100-e3x,"org.eclipse.mylyn.java.ui",1389481757964
started,bundle,org.eclipse.pde.api.tools,1.0.202.v20100820_r361,"org.eclipse.pde.api.tools",1389481758083
started,bundle,org.eclipse.pde.api.tools.ui,1.0.201.v20100820_r361,"org.eclipse.pde.api.tools.ui",1389481758085
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.file.save",1389481785968
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.edit.copy",1389481789942
started,bundle,org.eclipse.mylyn.java.tasks,3.4.0.v20100608-0100-e3x,"org.eclipse.mylyn.java.tasks",1389481790065
opened,editor,org.eclipse.jdt.ui,3.6.2.r362_v20110203,"org.eclipse.jdt.ui.CompilationUnitEditor",1389481791069
activated,editor,org.eclipse.jdt.ui,3.6.2.r362_v20110203,"org.eclipse.jdt.ui.CompilationUnitEditor",1389481791230
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.edit.paste",1389481793456
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1389481802076
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1389481955848
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.edit.text.contentAssist.proposals",1389481959816
activated,editor,org.eclipse.jdt.ui,3.6.2.r362_v20110203,"org.eclipse.jdt.ui.CompilationUnitEditor",1389481964755
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.edit.text.contentAssist.proposals",1389481966699
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1389481969971
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1389482061396
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1389482062238
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1389482062629
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1389482069978
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1389482078515
activated,view,org.eclipse.jdt.ui,3.6.2.r362_v20110203,"org.eclipse.jdt.ui.PackageExplorer",1389482100121
activated,editor,org.eclipse.jdt.ui,3.6.2.r362_v20110203,"org.eclipse.jdt.ui.CompilationUnitEditor",1389482109193
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.edit.text.contentAssist.proposals",1389482112732
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.edit.copy",1389482116261
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.edit.paste",1389482118122
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1389482120388
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1389482121969
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1389482124356
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1389482134651
